text,coding,round,recipient,sender.id,sender.name,treatment,direction,gameID,guess.x,confidence.x,nRabbits.x,nSquirrels.x,nCritters.x,mleEstimate.x,nSquirrelsGame.x,nRabbitsGame.x,mleGame.x,entropy.x,representation.x,designatedGame.x,entropy_bin.x,representation_bin.x,nCrittersGame_bin.x,error.x,guess.y,confidence.y,nRabbits.y,nSquirrels.y,nCritters.y,mleEstimate.y,nSquirrelsGame.y,nRabbitsGame.y,mleGame.y,entropy.y,representation.y,designatedGame.y,entropy_bin.y,representation_bin.y,nCrittersGame_bin.y,error.y
3 rabbits 1 squirrel,pn,8,01JD60FN5MPDJWWKRGQC4AJ7TH,01JD60FZK7EYY0SKJNQJGSQNZD,player 2,interactive,SR,01JD60N42012RAHRDYGAM2NEGC,80,82,3,1,4,0.75,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.03,80,82,3,1,4,0.75,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.03
1 squirrel no rabbits,pn,8,01JD60XETSVP4QX5QW3Z5GDJ4M,01JD60FN5MPDJWWKRGQC4AJ7TH,player 1,interactive,SR,01JD60N42012RAHRDYGAM2NEGC,98,76,0,1,1,0,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",25.03,98,76,0,1,1,0,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",25.03
I think majority rabbits,sb,8,01JD60FN5MPDJWWKRGQC4AJ7TH,01JD60FZK7EYY0SKJNQJGSQNZD,player 2,interactive,SR,01JD60N42012RAHRDYGAM2NEGC,80,82,3,1,4,0.75,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.03,80,82,3,1,4,0.75,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.03
what does majority meannnnn],q,8,01JD60FZK7EYY0SKJNQJGSQNZD,01JD60T010766GPR1ECPRGRXWW,player 3,interactive,SR,01JD60N42012RAHRDYGAM2NEGC,65,74,0,1,1,0,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.97,65,74,0,1,1,0,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.97
thanks,o,8,01JD60FZK7EYY0SKJNQJGSQNZD,01JD60T010766GPR1ECPRGRXWW,player 3,interactive,SR,01JD60N42012RAHRDYGAM2NEGC,65,74,0,1,1,0,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.97,65,74,0,1,1,0,10,27,0.7297,0.5838,0.381,23689,"0.54,0.81","0.36,0.48","35,40",7.97
1 rabbit,pn,1,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,89,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,89,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
"1 rabbit, 0 squirrel",pn,1,01JD60NTKPTH7WPT4SZ532G0VN,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,NA,NA,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA,NA,NA,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA
I see only one squirrel in my backyard,pn,1,01JD60NQ79YW86XTTWG9BQKWE9,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,NA,NA,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA,NA,NA,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA
18 rqbbits 6 squrrels,pn,1,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60NTKPTH7WPT4SZ532G0VN,player 3,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,75,79,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001,75,79,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001
No rabbits for me,pn,1,01JD60NQ79YW86XTTWG9BQKWE9,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,NA,NA,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA,NA,NA,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA
1 rabbit no squirrels,pn,2,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,13,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,13,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
"1 rabbit, 0 squirrel",pn,2,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,81,63,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",6.64,81,63,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",6.64
"I still only see 1 squirrel, 0 rabbits",pn,2,01JD60NTKPTH7WPT4SZ532G0VN,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,NA,NA,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA,NA,NA,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",NA
"1 rabbit, 0 squirrel",pn,3,01JD60NQ79YW86XTTWG9BQKWE9,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,74,78,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.359999999999999,74,78,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.359999999999999
1 rabbit no squirrels,pn,3,01JD60NTKPTH7WPT4SZ532G0VN,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,25,67,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",49.36,25,67,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",49.36
"1 S, 0 R",pn,3,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,94,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",19.64,94,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",19.64
20 rab 6,pn,3,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60NTKPTH7WPT4SZ532G0VN,player 3,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,95,82,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",20.64,95,82,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",20.64
1 S 0R,pn,4,01JD60NQ79YW86XTTWG9BQKWE9,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
1 rabbit no squirrels,pn,4,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,66,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,66,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
"1 rabbit, 0 squirrel",pn,4,01JD60NTKPTH7WPT4SZ532G0VN,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,70,26,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",4.36,70,26,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",4.36
20n/6,pn,4,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60NTKPTH7WPT4SZ532G0VN,player 3,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,86,74,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",11.64,86,74,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",11.64
1 rabbit 0 squirrels,pn,5,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,45,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,45,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
"1 S, 0 R",pn,5,01JD60NTKPTH7WPT4SZ532G0VN,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
"1 rabbit, 0 squirrel",pn,5,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,71,58,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",3.36,71,58,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",3.36
20rabs /6 squirrels,pn,5,01JD60NQ79YW86XTTWG9BQKWE9,01JD60NTKPTH7WPT4SZ532G0VN,player 3,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,94,98,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",19.64,94,98,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",19.64
1 rabbit 0 squirrels,pn,6,01JD60NTKPTH7WPT4SZ532G0VN,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,25,58,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",49.36,25,58,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",49.36
"1 S, 0 R",pn,6,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,93,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",18.64,93,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",18.64
"1 rabbit, 0 squirrel",pn,6,01JD60NQ79YW86XTTWG9BQKWE9,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,71,67,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",3.36,71,67,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",3.36
Same photo every time,o,6,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,93,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",18.64,93,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",18.64
20 rabs /6 squirrels,pn,6,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60NTKPTH7WPT4SZ532G0VN,player 3,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,92,75,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",17.64,92,75,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",17.64
1 rabbit 0 squirrels,pn,7,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,57,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,57,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
"1 rabbit, 0 squirrel",pn,7,01JD60NTKPTH7WPT4SZ532G0VN,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,75,61,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001,75,61,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001
1 s 0 r,pn,7,01JD60NQ79YW86XTTWG9BQKWE9,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
"1 rabbit, 0 squirrel",pn,8,01JD60S13HTW7PYR8CY3Z9XZA4,01JD60HR6KPR8VP87AE0ZRWNK1,player 1,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,75,67,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001,75,67,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001
1 S 0R,pn,8,01JD60NTKPTH7WPT4SZ532G0VN,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
1 rabbit 0 squirrels,pn,8,01JD60HR6KPR8VP87AE0ZRWNK1,01JD60NQ79YW86XTTWG9BQKWE9,player 2,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,75,65,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001,75,65,1,0,1,1,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",0.640000000000001
20 rabs / 6 squirrels,pn,8,01JD60NQ79YW86XTTWG9BQKWE9,01JD60NTKPTH7WPT4SZ532G0VN,player 3,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,92,90,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",17.64,92,90,27,9,36,0.75,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",17.64
I thought this would be more challenging,o,8,01JD60NTKPTH7WPT4SZ532G0VN,01JD60S13HTW7PYR8CY3Z9XZA4,player 4,interactive,SR,01JD60N6CJ8KGDZ8AR05FJMNCE,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36,50,100,0,1,1,0,10,29,0.7436,0.3553,0.3157,2355,"0.27,0.54","0.24,0.36","35,40",24.36
I saw 3 rabbits and no squirrels,pn,1,01JD60XBCF5J4W46VV4TJ3YBN5,01JD610FVKH033816DVATCK57H,player 4,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,100,100,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",26.67,100,100,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",26.67
I think there are 5o/50,sb,1,01JD60KASVSH639F9CD7CRW6FA,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,49,80,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",24.33,49,80,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",24.33
of each type,sb,1,01JD60KASVSH639F9CD7CRW6FA,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,49,80,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",24.33,49,80,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",24.33
Hey! I see four rabbits and no squirls,pn,1,01JD610FVKH033816DVATCK57H,01JD60XBCF5J4W46VV4TJ3YBN5,player 2,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,100,54,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",26.67,100,54,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",26.67
50/50,sb,1,01JD60KASVSH639F9CD7CRW6FA,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,49,80,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",24.33,49,80,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",24.33
I see four rabbits and no squirls.,pn,2,01JD60KASVSH639F9CD7CRW6FA,01JD60XBCF5J4W46VV4TJ3YBN5,player 2,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,75,52,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67,75,52,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67
its 50/50,sb,2,01JD610FVKH033816DVATCK57H,01JD60KASVSH639F9CD7CRW6FA,player 1,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,60,72,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",13.33,60,72,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",13.33
I saw 3 rabbits and no squirrels,pn,2,01JD60YNKMEBVNDQ6D7WH55YBH,01JD610FVKH033816DVATCK57H,player 4,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,75,84,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67,75,84,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67
there is 50 percent rabbits and 50 percent squirrels,sb,2,01JD60XBCF5J4W46VV4TJ3YBN5,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,62,39,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",11.33,62,39,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",11.33
I saw 2,pn,2,01JD60XBCF5J4W46VV4TJ3YBN5,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,62,39,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",11.33,62,39,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",11.33
I saw 2 rabbits and 2 squirrels,pn,3,01JD610FVKH033816DVATCK57H,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,75,66,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67,75,66,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67
only a few rabbits,pb,3,01JD60KASVSH639F9CD7CRW6FA,01JD610FVKH033816DVATCK57H,player 4,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,75,79,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67,75,79,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67
I see four rabbits and no squirls,pn,3,01JD60YNKMEBVNDQ6D7WH55YBH,01JD60XBCF5J4W46VV4TJ3YBN5,player 2,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,80,73,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",6.67,80,73,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",6.67
okay,o,3,01JD610FVKH033816DVATCK57H,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,75,66,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67,75,66,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67
there are two rabbits,pn,3,01JD60XBCF5J4W46VV4TJ3YBN5,01JD60KASVSH639F9CD7CRW6FA,player 1,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,50,66,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",23.33,50,66,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",23.33
2 rabbits 2 squirrels,pn,4,01JD60KASVSH639F9CD7CRW6FA,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,50,100,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",23.33,50,100,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",23.33
I see four rabbits and no squirls,pn,4,01JD610FVKH033816DVATCK57H,01JD60XBCF5J4W46VV4TJ3YBN5,player 2,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,90,85,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",16.67,90,85,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",16.67
what do you see?,q,4,01JD60KASVSH639F9CD7CRW6FA,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,50,100,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",23.33,50,100,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",23.33
3 rabbits and no squirrels,pn,4,01JD60XBCF5J4W46VV4TJ3YBN5,01JD610FVKH033816DVATCK57H,player 4,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,80,77,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",6.67,80,77,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",6.67
two squirrels and two rabbits,pn,4,01JD60YNKMEBVNDQ6D7WH55YBH,01JD60KASVSH639F9CD7CRW6FA,player 1,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,75,76,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67,75,76,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",1.67
2 rabbits 2 squirrels,pn,5,01JD60XBCF5J4W46VV4TJ3YBN5,01JD60YNKMEBVNDQ6D7WH55YBH,player 3,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,70,41,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",3.33,70,41,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",3.33
3 rabbits 0 squirrels,pn,5,01JD60YNKMEBVNDQ6D7WH55YBH,01JD610FVKH033816DVATCK57H,player 4,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,80,81,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",6.67,80,81,3,0,3,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",6.67
four rabbits and no squirls,pn,5,01JD60KASVSH639F9CD7CRW6FA,01JD60XBCF5J4W46VV4TJ3YBN5,player 2,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,85,80,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",11.67,85,80,4,0,4,1,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",11.67
2 rabbits and 2 squirrels,pn,5,01JD610FVKH033816DVATCK57H,01JD60KASVSH639F9CD7CRW6FA,player 1,interactive,SR,01JD60MZWS0N7S4EKBRXZ7EGQK,71,63,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",2.33,71,63,2,2,4,0.5,4,11,0.7333,1.3793,0.25,24638,"1.4,1.6","0.24,0.36","15,20",2.33
